Aves,Insectos,Plantas,Observadores,Sitios
Brotogeris jugularis,Apis mellifera,Fuchsia boliviana,Consuelo Sanchéz,RDH El Burro
Bubulcus ibis,Harmonia axyridis,Thunbergia alata,Jaime Ramírez,RDH Techo
Buteo platypterus,Dione glycera,Trifolium repens,Alexander Guaqueta,Corredor La Magdalena
Cardellina canadensis,Compsus canescens,Persicaria capitata,Diego Almonacid,Bosque Urbano Ciudad Montes
Catharus ustulatus,Mesamphiagrion laterale,Pittosporum undulatum,Victoria Mogollón,Bosque Urbano Parkway
Chaetocercus mulsant,Ascalapha odorata,Tecoma stans,Luz Cardenas,Jardín Botánico de Bogotá JCM
Chordeiles minor,Leptophobia aripa,Smallanthus pyramidalis,Oswaldo Pinzón,Parque Santa Bárbara Occidental
Coccyzus americanus,Thygater aethiops,Taraxacum officinale,Angela Montoya-Q,
Colibri coruscans,Rionaeschna marchali,Baccharis latiflia,,
Columba livia,Bombus pauloensis,Physalis peruviana,,
Conirostrum rufum,Bombus hortulanus,Trifolium pratense,,
Contopus cooperi,Astylus aulicus,Impatiens sodenii,,
Contopus sordidulus,Mimographus,Vinca major,,
Contopus virens,Melanchroia chephise,Bocconia frutescens,,
Coragyps atratus,Vanessa carye,Sysygium paniculatum,,
Diglossa humeralis,Eristalinus taeniops,Prunus serotina,,
Elaenia frantzii,Danaus plexippus,Sambucus nigra,,
Elanus leucurus,Asemosyrphus mexicanus,Hypochaeris radicata,,
Falco columbarius,Paracatua rubrolimbata,Callianthe picta,,
Falco sparverius,Zelus longipes,Streptosolen jamesonii,,
Harmonia axyridis,Sericoptera mahometaria,Sonchus oleraceus,,
Icterus chrysater,Neda norrisi,Duranta mutisii,,
Icterus icterus,Eantis pallida,Kalanchoe densiflora,,
Mecocerculus leucophrys,Megachile amparo,Lafoensia acuminata,,
Mniotilta varia,Mimocalla gigantea,Brugmansia saguinea,,
Molothrus bonariensis,Stehlikiana crassa,Abatia parviflora,,
Oreothlypis peregrina,Ennya sobria,Vallea stipularis,,
Orochelidon murina,Sympetrum gilvum,Oxalis latifolia,,
Petrochelidon pyrrhonota,Colias dimera,Senna viarum,,
Pipraeidea melanonota,Forficula auricularia,Xylosma spiculifera,,
Piranga olivacea,Hermiargus hanno,Fuchsia paniculata,,
Piranga rubra,Deretrachys juvencus,Tropaeolum majus,,
Porphyrio martinica,Lucila sericata,Fraxinus uhdei,,
Rupornis magnirostris,Eristalis tenax,Lycianthes lycioides,,
Setophaga fusca,Microcentrum,Schinus molle,,
Setophaga petechia,Mulsantina mexicana,Citharexylum subflavescens,,
Setophaga ruticilla,Hylephila phyleus,Raphanus raphanistrum,,
Setophaga striata,Ancyloxypha melanoneura,Lantana camara,,
Sicalis flaveola,Palpada pusilla,Verbena litoralis,,
Spinus psaltria,Calpodes ethlius,Nicotiana tabacum,,
Spinus spinescens,Palpada ruficeps,Ipomoea purpurea,,
Thraupis episcopus,Abaeis salome,Brugmansia arborea,,
Thraupis palmarum,Monalonion velezangeli,Sena multiglandulosa,,
Turdus fuscater,Drymoea veliterna,Leucanthemu vulgare,,
Turdus ignobilis,Allograpta exótica,Malva sylvestris,,
Tyrannus melancholicus,Tropidosteptes chapingoensis,Lobularia maritima,,
Vireo olivaceus,Aellopos fadus,Chaeogastra grossa,,
Zenaida auriculata,Alchisme grossa,Ligustrum lucidum,,
Zonotrichia capensis,Urbanus proteus,Myrsine guianensis,,
,Enyo lugubris,Solanum laxum,,
,Eristalis bogotensis,Ruta graveolens,,
,Dione juno,Asclepias curassavica,,
,,Tanacetum parthenium,,
,,Brassica rapa,,
,,Borago officinalis,,
,,Cuphea ignea,,